DAC Voltage: 0.00 V, Sense Voltage: -0.31 V, Sense Current: -65.49 mA
DAC Voltage: 0.10 V, Sense Voltage: -0.31 V, Sense Current: -65.49 mA
DAC Voltage: 0.20 V, Sense Voltage: -0.31 V, Sense Current: -66.53 mA
DAC Voltage: 0.30 V, Sense Voltage: -0.31 V, Sense Current: -65.49 mA
DAC Voltage: 0.40 V, Sense Voltage: -0.31 V, Sense Current: -66.53 mA
DAC Voltage: 0.50 V, Sense Voltage: -0.30 V, Sense Current: -63.41 mA
DAC Voltage: 0.60 V, Sense Voltage: -0.35 V, Sense Current: -73.81 mA
DAC Voltage: 0.70 V, Sense Voltage: -0.31 V, Sense Current: -65.49 mA
DAC Voltage: 0.80 V, Sense Voltage: -0.31 V, Sense Current: -65.49 mA
DAC Voltage: 0.90 V, Sense Voltage: -0.33 V, Sense Current: -70.69 mA
DAC Voltage: 1.00 V, Sense Voltage: -0.31 V, Sense Current: -66.53 mA
DAC Voltage: 1.10 V, Sense Voltage: -0.31 V, Sense Current: -65.49 mA
DAC Voltage: 1.20 V, Sense Voltage: -0.30 V, Sense Current: -64.45 mA
DAC Voltage: 1.30 V, Sense Voltage: -0.31 V, Sense Current: -66.53 mA
DAC Voltage: 1.40 V, Sense Voltage: -0.30 V, Sense Current: -64.45 mA
DAC Voltage: 1.50 V, Sense Voltage: -0.30 V, Sense Current: -64.45 mA
DAC Voltage: 1.60 V, Sense Voltage: -0.31 V, Sense Current: -65.49 mA
DAC Voltage: 1.70 V, Sense Voltage: -0.33 V, Sense Current: -69.65 mA
DAC Voltage: 1.80 V, Sense Voltage: -0.33 V, Sense Current: -69.65 mA
DAC Voltage: 1.90 V, Sense Voltage: -0.32 V, Sense Current: -67.57 mA
DAC Voltage: 2.00 V, Sense Voltage: -0.31 V, Sense Current: -66.53 mA
DAC Voltage: 2.10 V, Sense Voltage: -0.32 V, Sense Current: -67.57 mA
DAC Voltage: 2.20 V, Sense Voltage: -0.31 V, Sense Current: -66.53 mA
DAC Voltage: 2.30 V, Sense Voltage: -0.33 V, Sense Current: -69.65 mA
DAC Voltage: 2.40 V, Sense Voltage: -0.30 V, Sense Current: -64.45 mA
DAC Voltage: 2.50 V, Sense Voltage: -0.31 V, Sense Current: -65.49 mA
DAC Voltage: 2.60 V, Sense Voltage: -0.30 V, Sense Current: -64.45 mA
DAC Voltage: 2.70 V, Sense Voltage: -0.30 V, Sense Current: -63.41 mA
DAC Voltage: 2.80 V, Sense Voltage: -0.30 V, Sense Current: -64.45 mA
DAC Voltage: 2.90 V, Sense Voltage: -0.31 V, Sense Current: -65.49 mA
DAC Voltage: 3.00 V, Sense Voltage: -0.29 V, Sense Current: -62.37 mA
DAC Voltage: 3.10 V, Sense Voltage: -0.31 V, Sense Current: -66.53 mA
DAC Voltage: 3.20 V, Sense Voltage: -0.31 V, Sense Current: -65.49 mA
DAC Voltage: 3.30 V, Sense Voltage: -0.30 V, Sense Current: -64.45 mA
DAC Voltage: 3.40 V, Sense Voltage: -0.34 V, Sense Current: -71.73 mA
DAC Voltage: 3.50 V, Sense Voltage: -0.31 V, Sense Current: -65.49 mA
DAC Voltage: 3.60 V, Sense Voltage: -0.31 V, Sense Current: -66.53 mA
DAC Voltage: 3.70 V, Sense Voltage: -0.30 V, Sense Current: -63.41 mA
DAC Voltage: 3.80 V, Sense Voltage: -0.29 V, Sense Current: -61.33 mA
DAC Voltage: 3.90 V, Sense Voltage: -0.27 V, Sense Current: -57.17 mA
DAC Voltage: 4.00 V, Sense Voltage: -0.21 V, Sense Current: -45.74 mA
DAC Voltage: 4.10 V, Sense Voltage: -0.15 V, Sense Current: -32.22 mA
DAC Voltage: 4.20 V, Sense Voltage: 0.03 V, Sense Current: 7.30 mA
DAC Voltage: 4.30 V, Sense Voltage: 0.38 V, Sense Current: 81.13 mA
DAC Voltage: 4.40 V, Sense Voltage: 0.87 V, Sense Current: 184.09 mA
DAC Voltage: 4.50 V, Sense Voltage: 1.50 V, Sense Current: 318.23 mA
DAC Voltage: 4.60 V, Sense Voltage: 2.14 V, Sense Current: 455.50 mA
DAC Voltage: 4.70 V, Sense Voltage: 2.78 V, Sense Current: 590.69 mA
DAC Voltage: 4.80 V, Sense Voltage: 3.03 V, Sense Current: 644.77 mA
DAC Voltage: 4.90 V, Sense Voltage: 3.44 V, Sense Current: 731.08 mA
DAC Voltage: 5.00 V, Sense Voltage: 3.54 V, Sense Current: 753.96 mA
