Vgs: 0.00 V, Ids: -72.46 mA
Vgs: 0.10 V, Ids: -71.42 mA
Vgs: 0.20 V, Ids: -72.46 mA
Vgs: 0.30 V, Ids: -74.54 mA
Vgs: 0.40 V, Ids: -73.50 mA
Vgs: 0.50 V, Ids: -79.74 mA
Vgs: 0.60 V, Ids: -88.06 mA
Vgs: 0.70 V, Ids: -78.70 mA
Vgs: 0.80 V, Ids: -95.34 mA
Vgs: 0.90 V, Ids: -75.58 mA
Vgs: 1.00 V, Ids: -77.66 mA
Vgs: 1.10 V, Ids: -76.62 mA
Vgs: 1.20 V, Ids: -76.62 mA
Vgs: 1.30 V, Ids: -79.74 mA
Vgs: 1.40 V, Ids: -78.70 mA
Vgs: 1.50 V, Ids: -78.70 mA
Vgs: 1.60 V, Ids: -90.14 mA
Vgs: 1.70 V, Ids: -80.78 mA
Vgs: 1.80 V, Ids: -77.66 mA
Vgs: 1.90 V, Ids: -73.50 mA
Vgs: 2.00 V, Ids: -74.54 mA
Vgs: 2.10 V, Ids: -75.58 mA
Vgs: 2.20 V, Ids: -71.42 mA
Vgs: 2.30 V, Ids: -72.46 mA
Vgs: 2.40 V, Ids: -75.58 mA
Vgs: 2.50 V, Ids: -74.54 mA
Vgs: 2.60 V, Ids: -80.78 mA
Vgs: 2.70 V, Ids: -72.46 mA
Vgs: 2.80 V, Ids: -72.46 mA
Vgs: 2.90 V, Ids: -78.70 mA
Vgs: 3.00 V, Ids: -91.18 mA
Vgs: 3.10 V, Ids: -78.70 mA
Vgs: 3.20 V, Ids: -85.98 mA
Vgs: 3.30 V, Ids: -73.50 mA
Vgs: 3.40 V, Ids: -78.70 mA
Vgs: 3.50 V, Ids: -75.58 mA
Vgs: 3.60 V, Ids: -96.38 mA
Vgs: 3.70 V, Ids: -73.50 mA
Vgs: 3.80 V, Ids: -68.30 mA
Vgs: 3.90 V, Ids: -64.14 mA
Vgs: 4.00 V, Ids: -62.06 mA
Vgs: 4.10 V, Ids: -49.58 mA
Vgs: 4.20 V, Ids: 9.69 mA
Vgs: 4.30 V, Ids: 90.81 mA
Vgs: 4.40 V, Ids: 209.36 mA
Vgs: 4.50 V, Ids: 359.10 mA
Vgs: 4.60 V, Ids: 519.25 mA
Vgs: 4.70 V, Ids: 619.08 mA
Vgs: 4.80 V, Ids: 707.47 mA
Vgs: 4.90 V, Ids: 809.38 mA
Vgs: 5.00 V, Ids: 854.10 mA
