2024-11-08T10:15:31 99% | 4140 mV | 8 mA | 911 / 927 mAh | 33 mW | 94%
2024-11-08T10:16:01 99% | 4135 mV | 8 mA | 911 / 927 mAh | 33 mW | 94%
2024-11-08T10:16:32 99% | 4132 mV | 8 mA | 912 / 927 mAh | 33 mW | 94%
2024-11-08T10:17:02 99% | 4129 mV | 8 mA | 912 / 927 mAh | 33 mW | 94%
2024-11-08T10:17:33 99% | 4126 mV | 8 mA | 912 / 927 mAh | 33 mW | 94%
2024-11-08T10:18:04 99% | 4124 mV | 8 mA | 912 / 927 mAh | 33 mW | 94%
2024-11-08T10:18:34 99% | 4120 mV | 8 mA | 912 / 927 mAh | 33 mW | 94%
2024-11-08T10:19:05 99% | 4119 mV | 8 mA | 912 / 927 mAh | 33 mW | 94%
2024-11-08T10:19:35 99% | 4116 mV | 8 mA | 912 / 927 mAh | 33 mW | 94%
2024-11-08T10:20:06 99% | 4113 mV | 8 mA | 912 / 927 mAh | 33 mW | 94%
2024-11-08T10:20:37 99% | 4112 mV | 8 mA | 912 / 927 mAh | 33 mW | 94%
2024-11-08T10:21:07 99% | 4109 mV | 8 mA | 912 / 927 mAh | 33 mW | 94%
2024-11-08T10:21:38 99% | 4108 mV | 8 mA | 912 / 927 mAh | 33 mW | 94%
2024-11-08T10:22:08 99% | 4105 mV | 9 mA | 912 / 927 mAh | 37 mW | 94%
2024-11-08T10:22:39 99% | 4104 mV | 9 mA | 912 / 927 mAh | 37 mW | 94%
2024-11-08T10:23:10 99% | 4102 mV | 9 mA | 912 / 927 mAh | 37 mW | 94%
2024-11-08T10:23:40 99% | 4100 mV | 9 mA | 912 / 927 mAh | 37 mW | 94%
2024-11-08T10:24:11 99% | 4097 mV | 9 mA | 913 / 927 mAh | 37 mW | 94%
2024-11-08T10:24:41 99% | 4097 mV | 9 mA | 913 / 927 mAh | 37 mW | 94%
2024-11-08T10:25:12 99% | 4095 mV | 9 mA | 913 / 927 mAh | 37 mW | 94%
2024-11-08T10:25:43 99% | 4094 mV | 9 mA | 913 / 927 mAh | 37 mW | 94%
2024-11-08T10:26:13 99% | 4091 mV | 9 mA | 913 / 927 mAh | 37 mW | 94%
2024-11-08T10:26:44 99% | 4090 mV | 9 mA | 913 / 927 mAh | 37 mW | 94%
2024-11-08T10:27:14 99% | 4089 mV | 9 mA | 913 / 927 mAh | 37 mW | 94%
2024-11-08T10:27:45 99% | 4087 mV | 9 mA | 913 / 927 mAh | 37 mW | 94%
2024-11-08T10:28:16 99% | 4085 mV | 9 mA | 913 / 927 mAh | 37 mW | 94%
2024-11-08T10:28:46 99% | 4084 mV | 9 mA | 913 / 927 mAh | 37 mW | 94%
2024-11-08T10:29:17 99% | 4083 mV | 9 mA | 913 / 927 mAh | 37 mW | 94%
2024-11-08T10:29:48 99% | 4081 mV | 9 mA | 913 / 927 mAh | 37 mW | 94%
2024-11-08T10:30:18 99% | 4080 mV | 9 mA | 913 / 927 mAh | 37 mW | 94%
2024-11-08T10:30:49 99% | 4079 mV | 9 mA | 914 / 927 mAh | 37 mW | 94%
2024-11-08T10:31:19 99% | 4076 mV | 9 mA | 914 / 927 mAh | 37 mW | 94%
2024-11-08T10:31:50 99% | 4076 mV | 9 mA | 914 / 927 mAh | 37 mW | 94%
2024-11-08T10:32:21 99% | 4075 mV | 9 mA | 914 / 927 mAh | 37 mW | 94%
2024-11-08T10:32:51 99% | 4074 mV | 9 mA | 914 / 927 mAh | 37 mW | 94%
2024-11-08T10:33:22 99% | 4072 mV | 8 mA | 914 / 927 mAh | 33 mW | 94%
2024-11-08T10:33:52 99% | 4071 mV | 9 mA | 914 / 927 mAh | 37 mW | 94%
2024-11-08T10:34:23 99% | 4069 mV | 9 mA | 914 / 927 mAh | 37 mW | 94%
2024-11-08T10:34:54 99% | 4069 mV | 9 mA | 914 / 927 mAh | 37 mW | 94%
2024-11-08T10:35:24 99% | 4066 mV | 9 mA | 914 / 927 mAh | 37 mW | 94%
2024-11-08T10:35:55 99% | 4065 mV | 9 mA | 914 / 927 mAh | 37 mW | 94%
2024-11-08T10:36:26 99% | 4064 mV | 9 mA | 914 / 927 mAh | 37 mW | 94%
2024-11-08T10:36:56 99% | 4064 mV | 9 mA | 914 / 927 mAh | 37 mW | 94%
2024-11-08T10:37:27 99% | 4064 mV | 9 mA | 914 / 927 mAh | 37 mW | 94%
2024-11-08T10:37:57 99% | 4061 mV | 8 mA | 915 / 927 mAh | 32 mW | 94%
2024-11-08T10:38:28 99% | 4060 mV | 9 mA | 915 / 927 mAh | 37 mW | 94%
2024-11-08T10:38:59 99% | 4059 mV | 9 mA | 915 / 927 mAh | 37 mW | 94%
2024-11-08T10:39:29 99% | 4058 mV | 9 mA | 915 / 927 mAh | 37 mW | 94%
