DAC Voltage: 0.00 V, Sense Voltage: 0.00 V, Sense Current: 0.00 mA
DAC Voltage: 0.10 V, Sense Voltage: 0.00 V, Sense Current: 0.00 mA
DAC Voltage: 0.20 V, Sense Voltage: 0.14 V, Sense Current: 30.16 mA
DAC Voltage: 0.30 V, Sense Voltage: 0.26 V, Sense Current: 55.12 mA
DAC Voltage: 0.40 V, Sense Voltage: 0.36 V, Sense Current: 76.95 mA
DAC Voltage: 0.50 V, Sense Voltage: 0.46 V, Sense Current: 98.79 mA
DAC Voltage: 0.60 V, Sense Voltage: 0.57 V, Sense Current: 120.63 mA
DAC Voltage: 0.70 V, Sense Voltage: 0.66 V, Sense Current: 141.43 mA
DAC Voltage: 0.80 V, Sense Voltage: 0.69 V, Sense Current: 146.63 mA
DAC Voltage: 0.90 V, Sense Voltage: 0.65 V, Sense Current: 138.31 mA
DAC Voltage: 1.00 V, Sense Voltage: 0.65 V, Sense Current: 138.31 mA
DAC Voltage: 1.10 V, Sense Voltage: 0.66 V, Sense Current: 141.43 mA
DAC Voltage: 1.20 V, Sense Voltage: 0.65 V, Sense Current: 139.35 mA
DAC Voltage: 1.30 V, Sense Voltage: 0.64 V, Sense Current: 135.19 mA
DAC Voltage: 1.40 V, Sense Voltage: 0.69 V, Sense Current: 146.63 mA
DAC Voltage: 1.50 V, Sense Voltage: 0.68 V, Sense Current: 144.55 mA
DAC Voltage: 1.60 V, Sense Voltage: 0.69 V, Sense Current: 147.67 mA
DAC Voltage: 1.70 V, Sense Voltage: 0.70 V, Sense Current: 149.75 mA
DAC Voltage: 1.80 V, Sense Voltage: 0.69 V, Sense Current: 147.67 mA
DAC Voltage: 1.90 V, Sense Voltage: 0.71 V, Sense Current: 150.79 mA
DAC Voltage: 2.00 V, Sense Voltage: 0.71 V, Sense Current: 150.79 mA
DAC Voltage: 2.10 V, Sense Voltage: 0.71 V, Sense Current: 150.79 mA
DAC Voltage: 2.20 V, Sense Voltage: 0.72 V, Sense Current: 152.87 mA
DAC Voltage: 2.30 V, Sense Voltage: 0.71 V, Sense Current: 151.83 mA
DAC Voltage: 2.40 V, Sense Voltage: 0.71 V, Sense Current: 151.83 mA
DAC Voltage: 2.50 V, Sense Voltage: 0.73 V, Sense Current: 154.95 mA
DAC Voltage: 2.60 V, Sense Voltage: 0.67 V, Sense Current: 142.47 mA
DAC Voltage: 2.70 V, Sense Voltage: 0.65 V, Sense Current: 139.35 mA
DAC Voltage: 2.80 V, Sense Voltage: 0.67 V, Sense Current: 142.47 mA
DAC Voltage: 2.90 V, Sense Voltage: 0.71 V, Sense Current: 151.83 mA
DAC Voltage: 3.00 V, Sense Voltage: 0.71 V, Sense Current: 150.79 mA
DAC Voltage: 3.10 V, Sense Voltage: 0.72 V, Sense Current: 152.87 mA
DAC Voltage: 3.20 V, Sense Voltage: 0.70 V, Sense Current: 148.71 mA
DAC Voltage: 3.30 V, Sense Voltage: 0.71 V, Sense Current: 150.79 mA
DAC Voltage: 3.40 V, Sense Voltage: 0.66 V, Sense Current: 141.43 mA
DAC Voltage: 3.50 V, Sense Voltage: 0.71 V, Sense Current: 150.79 mA
DAC Voltage: 3.60 V, Sense Voltage: 0.71 V, Sense Current: 150.79 mA
DAC Voltage: 3.70 V, Sense Voltage: 0.72 V, Sense Current: 152.87 mA
DAC Voltage: 3.80 V, Sense Voltage: 0.66 V, Sense Current: 141.43 mA
DAC Voltage: 3.90 V, Sense Voltage: 0.70 V, Sense Current: 148.71 mA
DAC Voltage: 4.00 V, Sense Voltage: 0.65 V, Sense Current: 139.35 mA
DAC Voltage: 4.10 V, Sense Voltage: 0.65 V, Sense Current: 137.27 mA
DAC Voltage: 4.20 V, Sense Voltage: 0.71 V, Sense Current: 151.83 mA
DAC Voltage: 4.30 V, Sense Voltage: 0.72 V, Sense Current: 153.91 mA
DAC Voltage: 4.40 V, Sense Voltage: 0.73 V, Sense Current: 154.95 mA
DAC Voltage: 4.50 V, Sense Voltage: 0.73 V, Sense Current: 154.95 mA
DAC Voltage: 4.60 V, Sense Voltage: 0.71 V, Sense Current: 150.79 mA
DAC Voltage: 4.70 V, Sense Voltage: 0.72 V, Sense Current: 153.91 mA
DAC Voltage: 4.80 V, Sense Voltage: 0.73 V, Sense Current: 154.95 mA
DAC Voltage: 4.90 V, Sense Voltage: 0.72 V, Sense Current: 153.91 mA
DAC Voltage: 5.00 V, Sense Voltage: 0.74 V, Sense Current: 157.03 mA

