time,aX,aY,aZ,proximity
18749,0.832,0.520,-0.035,-1
25576,0.828,0.518,0.037,0
28534,0.845,0.523,-0.021,-1
30072,0.853,0.509,-0.021,3
31805,0.859,0.510,-0.050,-1
32731,0.855,0.496,0.021,0
33806,0.875,0.447,-0.001,-1
34609,0.868,0.512,-0.055,0
35391,0.864,0.501,-0.022,-1
36210,0.860,0.492,0.024,25
37174,0.868,0.488,-0.024,-1
38321,0.871,0.472,0.004,99
39701,0.874,0.455,0.024,-1
46860,0.746,0.625,-0.156,0
48226,0.773,0.596,-0.140,-1
49134,0.774,0.593,-0.087,0
49924,0.777,0.608,-0.095,-1
50790,0.792,0.592,-0.065,46
53490,0.801,0.564,-0.186,-1
54588,0.798,0.590,-0.162,23
55478,0.815,0.536,-0.116,-1
56441,0.778,0.574,-0.066,1
57164,0.807,0.566,-0.127,-1
58037,0.821,0.539,-0.145,79
59420,0.811,0.534,-0.134,-1
66861,0.679,0.742,-0.144,0
67989,0.706,0.652,-0.093,-1
68776,0.712,0.683,-0.084,0
69660,0.734,0.644,-0.089,-1
70527,0.734,0.657,-0.135,0
71492,0.728,0.651,-0.113,-1
72388,0.774,0.597,-0.127,0
73246,0.773,0.599,-0.132,-1
74115,0.771,0.601,-0.137,0
74932,0.760,0.629,-0.116,-1
75766,0.762,0.620,-0.074,0
76514,0.760,0.619,-0.074,-1
77284,0.759,0.618,-0.057,5
78154,0.775,0.611,-0.128,-1
79678,0.758,0.629,-0.115,19
81381,0.764,0.615,-0.088,-1
82155,0.751,0.643,-0.057,17
82784,0.766,0.605,-0.018,-1
83356,0.770,0.605,-0.043,50
85341,0.728,0.653,-0.103,-1
87075,0.754,0.628,-0.109,13
87910,0.744,0.625,-0.095,-1
88687,0.728,0.670,-0.113,0
89598,0.729,0.645,-0.065,-1
90422,0.733,0.652,-0.081,0
91289,0.721,0.665,-0.072,-1
92114,0.742,0.635,-0.083,0
92909,0.728,0.664,-0.096,-1
93674,0.737,0.645,-0.088,0
94414,0.749,0.626,-0.086,-1
95086,0.739,0.645,-0.079,0
95749,0.762,0.620,-0.117,-1
96452,0.750,0.630,-0.092,0
100439,0.660,0.709,-0.095,-1
101455,0.666,0.724,-0.173,0
102141,0.664,0.722,-0.094,-1
