time,aX,aY,aZ,proximity
4742,0.000,0.000,0.000,-1
4942,-0.034,-0.053,1.002,243
5142,-0.037,-0.059,0.999,-1
5342,-0.036,-0.072,0.997,245
5542,-0.036,-0.021,0.994,-1
5742,-0.047,0.051,1.030,245
5942,-0.036,0.130,0.971,-1
6142,-0.045,0.150,0.975,243
6342,-0.045,-0.005,0.999,-1
6542,-0.009,-0.238,0.965,243
6742,0.002,-0.257,0.893,-1
6942,-0.049,-0.342,0.930,245
7142,-0.052,-0.012,1.130,-1
7342,-0.039,-0.131,1.050,244
7542,-0.031,-0.066,1.000,-1
7742,-0.031,-0.083,1.007,229
7942,-0.021,-0.184,0.982,-1
8142,-0.023,-0.159,0.992,191
8342,-0.029,-0.158,0.994,-1
8542,-0.029,-0.122,0.996,148
8742,-0.030,-0.127,0.995,-1
8942,-0.034,-0.094,0.996,133
9142,-0.040,-0.089,1.000,-1
9342,-0.035,-0.065,0.999,155
9542,-0.034,-0.094,0.990,-1
9742,-0.037,-0.077,1.000,197
9942,-0.036,-0.061,1.003,-1
10142,-0.042,-0.069,1.004,132
10342,-0.037,-0.065,0.997,-1
10542,-0.040,-0.044,1.003,33
10742,-0.042,-0.050,0.999,-1
10942,-0.035,-0.066,0.994,2
11142,-0.037,-0.045,0.998,-1
11342,-0.035,-0.053,1.002,0
11542,-0.039,-0.056,1.002,-1
11742,-0.036,-0.052,1.003,79
11942,-0.029,-0.077,0.997,-1
12142,-0.033,-0.075,0.999,184
12342,-0.028,-0.081,0.995,-1
12542,-0.035,-0.065,1.001,225
12742,-0.035,-0.064,1.001,-1
12942,-0.041,-0.051,1.002,241
13142,-0.036,-0.069,0.993,-1
13342,-0.029,-0.104,0.995,244
13542,-0.021,-0.194,0.980,-1
13742,-0.025,-0.178,0.990,247
13942,-0.017,-0.296,0.962,-1
14142,-0.013,-0.341,0.944,246
14342,-0.021,-0.247,0.969,-1
14542,-0.030,-0.149,0.994,245
14742,-0.042,-0.049,1.006,-1
14942,-0.050,-0.013,1.000,243
15142,-0.053,0.008,1.008,-1
15342,-0.073,0.121,1.017,247
15542,-0.078,0.306,0.963,-1
15742,-0.077,0.381,0.916,244
15942,-0.052,0.023,1.039,-1
16142,-0.045,-0.127,0.995,245
16342,-0.041,-0.288,0.965,-1
16542,-0.040,-0.348,0.937,245
16742,-0.047,-0.400,0.916,-1
16942,-0.050,-0.234,0.982,244
17142,-0.087,0.005,1.008,-1
17342,-0.045,0.017,1.038,244
17542,0.031,0.021,0.958,-1
17742,0.023,-0.097,1.007,244
17942,-0.007,-0.267,0.959,-1
