// Copyright (c) 2024 David Such
// 
// This software is released under the MIT License.
// https://opensource.org/licenses/MIT

Compressed Samples (randomly selected):
Sample 7: 23 °C
Sample 49: 22 °C
Sample 73: 20 °C
Sample 58: 21 °C
Sample 30: 22 °C
Sample 72: 20 °C
Sample 44: 22 °C
Sample 78: 20 °C
Sample 23: 23 °C
Sample 9: 24 °C
Sample 40: 22 °C
Sample 65: 20 °C
Sample 92: 20 °C
Sample 42: 22 °C
Sample 87: 20 °C
Sample 3: 24 °C
Sample 27: 22 °C
Sample 29: 23 °C
Sample 12: 23 °C
Sample 69: 20 °C

All Regular Samples (for comparison):
Sample 0: 24 °C
Sample 1: 24 °C
Sample 2: 24 °C
Sample 3: 24 °C
Sample 4: 24 °C
Sample 5: 23 °C
Sample 6: 23 °C
Sample 7: 23 °C
Sample 8: 23 °C
Sample 9: 24 °C
Sample 10: 24 °C
Sample 11: 24 °C
Sample 12: 23 °C
Sample 13: 24 °C
Sample 14: 24 °C
Sample 15: 23 °C
Sample 16: 23 °C
Sample 17: 23 °C
Sample 18: 23 °C
Sample 19: 23 °C
Sample 20: 23 °C
Sample 21: 23 °C
Sample 22: 23 °C
Sample 23: 23 °C
Sample 24: 23 °C
Sample 25: 23 °C
Sample 26: 23 °C
Sample 27: 22 °C
Sample 28: 22 °C
Sample 29: 23 °C
Sample 30: 22 °C
Sample 31: 22 °C
Sample 32: 22 °C
Sample 33: 22 °C
Sample 34: 22 °C
Sample 35: 22 °C
Sample 36: 22 °C
Sample 37: 22 °C
Sample 38: 22 °C
Sample 39: 22 °C
Sample 40: 22 °C
Sample 41: 22 °C
Sample 42: 22 °C
Sample 43: 22 °C
Sample 44: 22 °C
Sample 45: 22 °C
Sample 46: 22 °C
Sample 47: 21 °C
Sample 48: 22 °C
Sample 49: 22 °C
Sample 50: 21 °C
Sample 51: 21 °C
Sample 52: 21 °C
Sample 53: 21 °C
Sample 54: 21 °C
Sample 55: 21 °C
Sample 56: 21 °C
Sample 57: 21 °C
Sample 58: 21 °C
Sample 59: 21 °C
Sample 60: 21 °C
Sample 61: 21 °C
Sample 62: 21 °C
Sample 63: 21 °C
Sample 64: 20 °C
Sample 65: 20 °C
Sample 66: 21 °C
Sample 67: 20 °C
Sample 68: 20 °C
Sample 69: 20 °C
Sample 70: 20 °C
Sample 71: 20 °C
Sample 72: 20 °C
Sample 73: 20 °C
Sample 74: 20 °C
Sample 75: 20 °C
Sample 76: 20 °C
Sample 77: 20 °C
Sample 78: 20 °C
Sample 79: 20 °C
Sample 80: 20 °C
Sample 81: 20 °C
Sample 82: 20 °C
Sample 83: 20 °C
Sample 84: 20 °C
Sample 85: 20 °C
Sample 86: 20 °C
Sample 87: 20 °C
Sample 88: 20 °C
Sample 89: 20 °C
Sample 90: 20 °C
Sample 91: 20 °C
Sample 92: 20 °C
Sample 93: 20 °C
Sample 94: 20 °C
Sample 95: 20 °C
Sample 96: 20 °C
Sample 97: 20 °C
Sample 98: 20 °C
Sample 99: 20 °C
