Roll-1,Pitch-1,Roll-2,Pitch-2,Roll-3,Pitch-3,Tilt-3,Roll-Actual,Pitch-Actual
0.48,-0.13,0.47,-0.13,0.47,-0.13,0.49,0,0
-0.22,-9.22,-0.23,-9.19,-0.22,-9.19,9.19,0,-9.5
-0.2,-19.74,-0.21,-19.84,-0.2,-19.84,19.84,0,-20
-0.35,-40.18,-0.47,-40.8,-0.35,-40.8,40.8,0,-40.6
-0.24,-61.33,-0.51,-61.93,-0.24,-61.92,61.93,0,-60.6
-0.11,5.29,-0.11,5.31,-0.11,5.31,5.31,0,5.5
0.25,10.77,0.26,10.76,0.25,10.76,10.76,0,10.9
-0.03,21.29,-0.03,21.18,-0.03,21.18,21.18,0,21.1
0.18,37.84,0.23,37.63,0.18,37.63,37.63,0,37.9
-0.8,54.63,-1.38,54.79,-0.8,54.79,54.8,0,54.9
-0.01,0.27,-0.01,0.26,-0.01,0.26,0.26,0.1,0
-7.67,0.94,-7.67,0.94,-7.67,0.94,7.73,-8,0
-16.79,2.39,-16.75,2.49,-16.74,2.38,16.92,-16.9,0
-27.78,-0.21,-27.31,-0.23,-27.31,-0.21,27.31,-27.3,0
-39,-0.29,-38.89,-0.38,-38.89,-0.29,38.89,-39.1,0
-49.21,-0.29,-49.29,-0.45,-49.29,-0.29,49.29,-49.2,0
-51.02,-0.14,-51.14,-0.22,-51.14,-0.14,51.14,-50.9,0
10.77,0.63,10.83,0.64,10.82,0.63,10.84,10.4,0
20.26,0.56,20,0.59,20,0.55,20.01,20.1,0
30.19,0.21,30.31,0.24,30.31,0.21,30.31,30.3,0
37.08,-0.6,37.01,-0.75,37.01,-0.6,37.01,36.9,0
43.94,0.84,43.55,1.15,43.54,0.83,43.55,43.7,0
64.82,2.94,64.45,6.75,64.3,2.92,64.49,64.6,0
