Beta	RMS Error
0.00	134.15
0.01	127.59
0.02	119.44
0.03	109.34
0.04	96.93
0.05	82.21
0.06	65.93
0.07	49.25
0.08	32.97
0.09	18.02
0.10	8.10
0.11	4.41
0.12	3.00
0.13	2.30
0.14	1.79
0.15	1.38
0.16	1.13
0.17	0.92
0.18	0.72
0.19	0.53
0.20	0.36
0.21	0.21
0.22	0.17
0.23	0.15
0.24	0.12
0.25	0.08
0.26	0.08
0.27	0.07
0.28	0.06
0.29	0.05
0.30	0.08
0.31	0.04
0.32	0.02
0.33	0.02
0.34	0.03
0.35	0.03
0.36	0.05
0.37	0.04
0.38	0.03
0.39	0.07
0.40	0.03
0.41	0.03
0.42	0.02
0.43	0.04
0.44	0.06
0.45	0.02
0.46	0.01
0.47	0.03
0.48	0.02
0.49	0.04
0.50	0.04
