Offsets: ax: -0.009, ay: -0.081, az: 0.006

Angle (degrees), ax (m/s^2), ay (m/s^2), az (m/s^2)
0,0.001,-0.000,0.987
0,0.001,0.001,0.987
0,-0.000,0.001,0.988
0,0.000,-0.000,0.988
0,0.001,0.000,0.988
0,-0.001,-0.001,0.989
0,0.001,-0.000,0.988
0,-0.000,-0.001,0.989
0,0.001,-0.001,0.987
0,-0.000,0.001,0.987
20,-0.004,-0.337,0.904
20,-0.003,-0.335,0.904
20,-0.004,-0.337,0.904
20,-0.003,-0.337,0.905
20,-0.002,-0.336,0.903
20,-0.003,-0.337,0.903
20,-0.003,-0.336,0.904
20,-0.003,-0.337,0.905
20,-0.003,-0.336,0.904
20,-0.002,-0.336,0.904
40,-0.005,-0.615,0.720
40,-0.004,-0.615,0.720
40,-0.004,-0.614,0.717
40,-0.004,-0.614,0.716
40,-0.005,-0.614,0.715
40,-0.004,-0.615,0.715
40,-0.004,-0.612,0.715
40,-0.004,-0.613,0.717
40,-0.005,-0.614,0.717
40,-0.005,-0.615,0.718
60,-0.005,-0.822,0.435
60,-0.003,-0.821,0.435
60,-0.005,-0.821,0.433
60,-0.004,-0.822,0.435
60,-0.003,-0.820,0.434
60,-0.003,-0.821,0.435
60,-0.004,-0.820,0.434
60,-0.003,-0.821,0.435
60,-0.004,-0.820,0.435
60,-0.004,-0.822,0.435
80,0.008,-0.918,0.101
80,0.007,-0.917,0.103
80,0.007,-0.917,0.103
80,0.009,-0.918,0.104
80,0.008,-0.918,0.102
80,0.007,-0.919,0.103
80,0.009,-0.916,0.102
80,0.008,-0.917,0.103
80,0.007,-0.919,0.102
80,0.008,-0.917,0.102
-20,0.002,0.339,0.952
-20,0.002,0.338,0.952
-20,0.001,0.340,0.952
-20,0.002,0.338,0.952
-20,0.001,0.340,0.952
-20,0.002,0.340,0.953
-20,0.000,0.340,0.953
-20,0.002,0.339,0.952
-20,0.000,0.339,0.951
-20,0.001,0.338,0.952
-40,0.009,0.648,0.805
-40,0.008,0.650,0.801
-40,0.008,0.651,0.796
-40,0.008,0.649,0.802
-40,0.008,0.652,0.792
-40,0.008,0.648,0.803
-40,0.007,0.649,0.801
-40,0.007,0.651,0.790
-40,0.008,0.647,0.806
-40,0.008,0.646,0.810
-60,0.004,0.889,0.550
-60,0.005,0.893,0.544
-60,0.005,0.893,0.538
-60,0.005,0.891,0.551
-60,0.005,0.890,0.551
-60,0.005,0.893,0.542
-60,0.005,0.893,0.541
-60,0.005,0.892,0.545
-60,0.005,0.892,0.546
-60,0.005,0.891,0.544
-80,0.004,1.032,0.225
-80,0.004,1.034,0.216
-80,0.003,1.033,0.219
-80,0.003,1.031,0.225
-80,0.003,1.031,0.230
-80,0.004,1.030,0.233
-80,0.002,1.030,0.226
-80,0.003,1.032,0.225
-80,0.004,1.032,0.220
-80,0.002,1.033,0.221
