Testing filter: 0 without noise
Time,Roll Error,Pitch Error,Yaw Error
0.000,143.182,-34.849,141.268
0.010,142.820,-35.009,141.310
0.020,142.471,-35.155,141.349
0.030,142.122,-35.302,141.389
0.040,141.773,-35.448,141.429
0.050,141.410,-35.607,141.473
0.060,141.047,-35.765,141.518
0.070,140.684,-35.924,141.564
0.080,140.320,-36.082,141.610
0.090,139.957,-36.240,141.657
0.100,139.607,-36.386,141.701
0.110,139.257,-36.531,141.746
0.120,138.907,-36.676,141.791
0.130,138.556,-36.821,141.837
0.140,138.192,-36.979,141.887
0.150,137.827,-37.136,141.938
0.160,137.463,-37.294,141.990
0.170,137.112,-37.438,142.038
0.180,136.747,-37.596,142.091
0.190,136.382,-37.753,142.145
0.200,136.017,-37.910,142.200
0.210,135.665,-38.054,142.251
0.220,135.299,-38.211,142.307
0.230,134.948,-38.354,142.359
0.240,134.596,-38.497,142.411
0.250,134.243,-38.641,142.465
0.260,133.877,-38.797,142.524
0.270,133.511,-38.954,142.583
0.280,133.158,-39.096,142.638
0.290,132.806,-39.239,142.694
0.300,132.439,-39.395,142.756
0.310,132.072,-39.551,142.818
0.320,131.705,-39.708,142.881
0.330,131.351,-39.850,142.940
0.340,130.998,-39.992,142.999
0.350,130.644,-40.134,143.060
0.360,130.276,-40.290,143.126
0.370,129.908,-40.445,143.192
0.380,129.539,-40.601,143.260
0.390,129.170,-40.757,143.328
0.400,128.801,-40.913,143.397
0.410,128.447,-41.054,143.462
0.420,128.077,-41.209,143.533
0.430,127.722,-41.350,143.598
0.440,127.352,-41.505,143.671
0.450,126.997,-41.646,143.738
0.460,126.641,-41.786,143.806
0.470,126.285,-41.927,143.875
0.480,125.914,-42.082,143.951
0.490,125.543,-42.237,144.027
0.500,125.172,-42.393,144.104
0.510,124.800,-42.548,144.182
0.520,124.428,-42.703,144.261
0.530,124.071,-42.843,144.335
0.540,123.698,-42.998,144.415
0.550,123.340,-43.137,144.491
0.560,122.967,-43.292,144.573
0.570,122.593,-43.447,144.657
0.580,122.219,-43.602,144.741
0.590,121.844,-43.757,144.826
0.600,121.469,-43.912,144.913
0.610,121.110,-44.051,144.993
0.620,120.734,-44.206,145.081
0.630,120.373,-44.345,145.163
0.640,120.013,-44.484,145.246
0.650,119.651,-44.624,145.330
0.660,119.290,-44.763,145.415
0.670,118.929,-44.901,145.501
0.680,118.551,-45.056,145.594
