Sensor,Angle,Mean_Total_Deviation
BMI270,-80,1.0712518223330696
BMI270,-60,0.9336499999999999
BMI270,-40,0.689305556881022
BMI270,-20,0.3608073792140915
BMI270,0,0.014399999999999996
BMI270,20,0.36662014332566867
BMI270,40,0.6661009426222326
BMI270,60,0.8929754037844386
BMI270,80,1.0086059306791384
ISM330BX,-80,1.9755715753452776
ISM330BX,-60,3.0827374037844386
ISM330BX,-40,1.2951000528055174
ISM330BX,-20,0.6892497641115771
ISM330BX,0,0.07424200000000006
ISM330BX,20,0.7342087641115771
ISM330BX,40,1.3817740528055173
ISM330BX,60,1.844957403784439
ISM330BX,80,2.074519930679138
LSM9DS1,-80,1.0321
LSM9DS1,-60,0.9079
LSM9DS1,-40,0.67435
LSM9DS1,-20,0.3722181289931018
LSM9DS1,0,0.023749999999999986
LSM9DS1,20,0.3746242399543954
LSM9DS1,40,0.6894820528055173
LSM9DS1,60,0.9249254037844385
LSM9DS1,80,1.0610559306791383
MPU6050,-80,2.1467095753452776
MPU6050,-60,1.8860254037844384
MPU6050,-40,1.3445431665675611
MPU6050,-20,0.7115275225397603
MPU6050,0,0.10605000000000002
MPU6050,20,0.7323775225397603
MPU6050,40,1.3486431665675611
MPU6050,60,1.8009254037844387
MPU6050,80,2.0401095753452774
