Angle,Mean_Deviation_ax,Std_Deviation_ax,Mean_Deviation_ay,Std_Deviation_ay,Mean_Deviation_az,Std_Deviation_az,Sensor,Orientation,Offsets
-80,-0.016992246987791913,0.0010327955589886787,0.0106,0.0014298407059684815,0.022651822333069595,0.0014944341180973275,LSM9DS1,Pitch,"Offsets: ax: 0.009, ay: -0.028, az: -0.002"
-60,-0.009574596215561403,0.0006992058987801015,0.0097,0.0008232726023485643,0.02329999999999991,0.0010593499054713813,LSM9DS1,Pitch,"Offsets: ax: 0.009, ay: -0.028, az: -0.002"
-40,-0.004812390313460768,0.0006992058987801015,0.0058000000000000005,0.0012292725943057181,0.02095555688102202,0.001247219128924648,LSM9DS1,Pitch,"Offsets: ax: 0.009, ay: -0.028, az: -0.002"
-20,0.0013201433256686934,0.002263232692902387,0.0029000000000000002,0.0014491376746189437,0.016307379214091533,0.0011547005383792525,LSM9DS1,Pitch,"Offsets: ax: 0.009, ay: -0.028, az: -0.002"
0,0.0,0.0008164965809277262,-0.0001,0.00031622776601683794,0.005399999999999938,0.00051639777949438,LSM9DS1,Pitch,"Offsets: ax: 0.009, ay: -0.028, az: -0.002"
20,-0.00352014332566869,0.0005270462766947304,-0.0021999999999999997,0.0013165611772087667,-0.0016926207859084385,0.001825741858350508,LSM9DS1,Pitch,"Offsets: ax: 0.009, ay: -0.028, az: -0.002"
40,-0.013887609686539248,0.0009944289260117541,-0.0001,0.0008755950357709132,-0.008344443118978006,0.0014944341180973277,LSM9DS1,Pitch,"Offsets: ax: 0.009, ay: -0.028, az: -0.002"
60,-0.020425403784438623,0.0021186998109427625,0.008799999999999999,0.0016865480854231353,-0.018100000000000126,0.004483302354291983,LSM9DS1,Pitch,"Offsets: ax: 0.009, ay: -0.028, az: -0.002"
80,-0.026307753012208057,0.0009718253158075515,0.017499999999999998,0.0010801234497346435,-0.017748177666930414,0.000994428926011754,LSM9DS1,Pitch,"Offsets: ax: 0.009, ay: -0.028, az: -0.002"
-80,0.0024000000000000002,0.0009660917830792958,1.993107753012208,0.0009486832980505801,-0.018448177666930417,0.004104198392432373,LSM9DS1,Roll,"Offsets: ax: -0.044, ay: -0.025, az: 0.020"
-60,0.007000000000000001,0.0008164965809277261,1.7472254037844386,0.0010327955589886622,-0.019000000000000128,0.004163331998932268,LSM9DS1,Roll,"Offsets: ax: -0.044, ay: -0.025, az: 0.020"
-40,0.0039,0.0008755950357709132,1.2917876096865393,0.000666666666666623,-0.02144444311897802,0.0015055453054181648,LSM9DS1,Roll,"Offsets: ax: -0.044, ay: -0.025, az: 0.020"
