Sensor,Angle,Orientation,Mean_ax,Mean_ay,Mean_az
BMI270,-80,Pitch,-0.9992000000000001,0.0249,0.20669999999999997
BMI270,-80,Roll,0.0032,1.0318,0.22400000000000003
BMI270,-60,Pitch,-0.8727,0.020800000000000003,0.532
BMI270,-60,Roll,0.0049,0.8916999999999999,0.5452
BMI270,-40,Pitch,-0.6475000000000001,0.015099999999999999,0.7905
BMI270,-40,Roll,0.0079,0.6491,0.8006
BMI270,-20,Pitch,-0.34429999999999994,0.004200000000000001,0.96
BMI270,-20,Roll,0.0013000000000000002,0.3391,0.9521
BMI270,0,Pitch,-0.0002,0.00030000000000000003,1.0145
BMI270,0,Roll,0.0004,0.0,0.9878
BMI270,20,Pitch,0.33890000000000003,-0.0068000000000000005,0.9459
BMI270,20,Roll,-0.003,-0.33640000000000003,0.9040000000000001
BMI270,40,Pitch,0.6317999999999999,-0.0093,0.7674000000000001
BMI270,40,Roll,-0.004399999999999999,-0.6141,0.717
BMI270,60,Pitch,0.8467,-0.0077,0.4993
BMI270,60,Roll,-0.0038,-0.821,0.4346
BMI270,80,Pitch,0.9581999999999999,0.0036000000000000003,0.168
BMI270,80,Roll,0.0078,-0.9176,0.1025
LSM9DS1,-80,Pitch,-1.0017999999999998,0.0106,0.1963
LSM9DS1,-80,Roll,0.0024000000000000002,1.0083,0.1552
LSM9DS1,-60,Pitch,-0.8756,0.0097,0.5233000000000001
LSM9DS1,-60,Roll,0.007000000000000001,0.8812,0.481
LSM9DS1,-40,Pitch,-0.6476,0.0058000000000000005,0.787
LSM9DS1,-40,Roll,0.0039,0.649,0.7445999999999999
LSM9DS1,-20,Pitch,-0.3407,0.0029000000000000002,0.9559999999999998
LSM9DS1,-20,Roll,0.0043,0.34609999999999996,0.9088
LSM9DS1,0,Pitch,0.0,-0.0001,1.0053999999999998
LSM9DS1,0,Roll,-0.0004,0.0002,0.9593999999999999
LSM9DS1,20,Pitch,0.3385,-0.0021999999999999997,0.938
LSM9DS1,20,Roll,0.005,-0.3417,0.8869
LSM9DS1,40,Pitch,0.6289,-0.0001,0.7577
LSM9DS1,40,Roll,0.0116,-0.6396,0.7038
LSM9DS1,60,Pitch,0.8455999999999999,0.008799999999999999,0.4819
LSM9DS1,60,Roll,0.0212,-0.8539,0.4386
LSM9DS1,80,Pitch,0.9584999999999999,0.017499999999999998,0.15589999999999998
LSM9DS1,80,Roll,0.0325,-0.9692999999999999,0.09970000000000001
MPU6050,-80,Pitch,0.1162,1.0005,0.28979999999999995
MPU6050,-80,Roll,0.9296000000000001,0.0737,0.2613
MPU6050,-60,Pitch,0.086,0.8612,0.6182000000000001
MPU6050,-60,Roll,0.5967,0.0433,0.8346
MPU6050,-40,Pitch,0.0528,0.6399,0.8579000000000001
MPU6050,-40,Roll,0.4992,-0.0193,0.9051
MPU6050,-20,Pitch,0.0273,0.3321,1.0218
MPU6050,-20,Roll,0.27470000000000006,-0.047599999999999996,1.0101
MPU6050,0,Pitch,-0.0013000000000000002,0.0046,1.0699999999999998
MPU6050,0,Roll,0.05,-0.0262,1.0572
MPU6050,20,Pitch,-0.001,-0.33290000000000003,1.0043
MPU6050,20,Roll,-0.27040000000000003,-0.0134,1.0381
MPU6050,40,Pitch,-0.0206,-0.6296999999999999,0.8209
MPU6050,40,Roll,-0.5765,0.008400000000000001,0.9045
MPU6050,60,Pitch,-0.0019000000000000002,-0.8522000000000001,0.5451
MPU6050,60,Roll,-0.8237,0.036,0.6829000000000001
MPU6050,80,Pitch,0.036199999999999996,-0.9669000000000001,0.2246
MPU6050,80,Roll,-0.9813000000000001,0.0665,0.38780000000000003
