,BMI270,,,LSM9DS1,,,MPU6050,,
Angle,ax,ay,az,ax,ay,az,ax,ay,az
-80,-0.50,0.53,0.22,-0.50,0.51,0.18,0.52,0.54,0.28
-60,-0.43,0.46,0.54,-0.43,0.45,0.50,0.34,0.45,0.73
-40,-0.32,0.33,0.80,-0.32,0.33,0.77,0.28,0.31,0.88
-20,-0.17,0.17,0.96,-0.17,0.17,0.93,0.15,0.14,1.02
0,0.00,0.00,1.00,0.00,0.00,0.98,0.02,-0.01,1.06
20,0.17,-0.17,0.92,0.17,-0.17,0.91,-0.14,-0.17,1.02
40,0.31,-0.31,0.74,0.32,-0.32,0.73,-0.30,-0.31,0.86
60,0.42,-0.41,0.47,0.43,-0.42,0.46,-0.41,-0.41,0.61
80,0.48,-0.46,0.14,0.50,-0.48,0.13,-0.47,-0.45,0.31
