Offsets: ax: 0.009, ay: -0.028, az: -0.002

Angle (degrees), ax (m/s^2), ay (m/s^2), az (m/s^2)
0,0.001,-0.001,1.006
0,0.000,-0.000,1.005
0,-0.002,0.000,1.005
0,-0.000,-0.000,1.006
0,-0.000,-0.000,1.006
0,-0.000,-0.000,1.005
0,0.001,-0.000,1.006
0,0.000,-0.000,1.005
0,-0.000,0.000,1.005
0,0.000,0.000,1.005
20,0.339,-0.004,0.938
20,0.338,-0.002,0.935
20,0.339,-0.003,0.941
20,0.338,-0.004,0.936
20,0.339,-0.001,0.939
20,0.338,-0.002,0.940
20,0.338,-0.001,0.938
20,0.339,-0.003,0.937
20,0.339,-0.002,0.939
20,0.338,-0.000,0.937
40,0.627,-0.002,0.758
40,0.630,0.001,0.760
40,0.628,0.000,0.757
40,0.629,-0.001,0.755
40,0.630,0.000,0.757
40,0.629,-0.000,0.758
40,0.629,-0.000,0.758
40,0.629,0.000,0.759
40,0.628,0.000,0.756
40,0.630,0.001,0.759
60,0.841,0.005,0.473
60,0.843,0.012,0.476
60,0.845,0.009,0.479
60,0.847,0.008,0.482
60,0.845,0.009,0.483
60,0.847,0.009,0.484
60,0.847,0.009,0.486
60,0.847,0.009,0.485
60,0.847,0.009,0.485
60,0.847,0.009,0.486
80,0.961,0.020,0.157
80,0.959,0.017,0.158
80,0.958,0.017,0.155
80,0.958,0.016,0.155
80,0.958,0.018,0.156
80,0.958,0.018,0.156
80,0.958,0.017,0.156
80,0.958,0.017,0.155
80,0.959,0.018,0.155
80,0.958,0.017,0.156
-20,-0.335,-0.001,0.955
-20,-0.344,0.004,0.955
-20,-0.341,0.003,0.958
-20,-0.341,0.003,0.957
-20,-0.341,0.004,0.955
-20,-0.341,0.003,0.957
-20,-0.341,0.004,0.956
-20,-0.342,0.003,0.955
-20,-0.340,0.003,0.957
-20,-0.341,0.003,0.955
-40,-0.647,0.008,0.787
-40,-0.647,0.007,0.790
-40,-0.647,0.005,0.787
-40,-0.648,0.005,0.787
-40,-0.647,0.006,0.787
-40,-0.648,0.005,0.785
-40,-0.649,0.007,0.787
-40,-0.648,0.004,0.787
-40,-0.648,0.006,0.786
-40,-0.647,0.005,0.787
-60,-0.877,0.008,0.525
-60,-0.876,0.010,0.524
-60,-0.875,0.010,0.522
-60,-0.876,0.010,0.524
-60,-0.875,0.010,0.522
-60,-0.875,0.011,0.523
-60,-0.875,0.009,0.523
-60,-0.875,0.010,0.524
-60,-0.876,0.010,0.522
-60,-0.876,0.009,0.524
-80,-1.001,0.007,0.194
-80,-1.001,0.011,0.195
-80,-1.001,0.011,0.199
-80,-1.002,0.012,0.198
-80,-1.001,0.012,0.197
-80,-1.004,0.011,0.196
-80,-1.003,0.011,0.196
-80,-1.002,0.010,0.196
-80,-1.002,0.010,0.197
-80,-1.001,0.011,0.195
