Offsets: ax: -0.030, ay: -0.044, az: -0.034

Angle (degrees), ax (m/s^2), ay (m/s^2), az (m/s^2)
0,0.002,0.016,1.068
0,-0.006,-0.007,1.070
0,0.001,0.002,1.073
0,-0.001,0.007,1.068
0,-0.004,0.005,1.065
0,-0.002,0.005,1.068
0,-0.004,0.009,1.073
0,-0.002,0.003,1.074
0,0.004,0.002,1.062
0,-0.001,0.004,1.079
20,0.002,-0.329,1.018
20,0.000,-0.332,0.997
20,0.002,-0.333,0.996
20,0.002,-0.332,1.002
20,-0.003,-0.334,1.006
20,-0.001,-0.338,1.008
20,0.003,-0.331,0.998
20,-0.008,-0.329,0.991
20,-0.005,-0.338,1.005
20,-0.002,-0.333,1.022
40,-0.026,-0.632,0.821
40,-0.025,-0.629,0.819
40,-0.020,-0.631,0.814
40,-0.017,-0.630,0.828
40,-0.019,-0.634,0.819
40,-0.015,-0.625,0.828
40,-0.025,-0.629,0.819
40,-0.019,-0.632,0.819
40,-0.018,-0.626,0.823
40,-0.022,-0.629,0.819
60,-0.005,-0.851,0.538
60,0.007,-0.854,0.543
60,-0.000,-0.849,0.546
60,-0.001,-0.852,0.536
60,-0.002,-0.851,0.548
60,-0.008,-0.853,0.549
60,0.002,-0.855,0.541
60,-0.004,-0.851,0.546
60,0.000,-0.852,0.554
60,-0.008,-0.854,0.550
80,0.039,-0.978,0.230
80,0.032,-0.964,0.224
80,0.035,-0.967,0.229
80,0.037,-0.968,0.220
80,0.038,-0.960,0.227
80,0.035,-0.966,0.220
80,0.038,-0.970,0.220
80,0.037,-0.967,0.222
80,0.035,-0.969,0.231
80,0.036,-0.960,0.223
-20,0.027,0.332,1.028
-20,0.029,0.334,1.019
-20,0.026,0.330,1.033
-20,0.028,0.330,1.029
-20,0.025,0.332,1.014
-20,0.031,0.332,1.006
-20,0.026,0.340,1.022
-20,0.030,0.331,1.012
-20,0.022,0.330,1.024
-20,0.029,0.330,1.031
-40,0.053,0.639,0.867
-40,0.060,0.640,0.854
-40,0.050,0.635,0.866
-40,0.050,0.636,0.858
-40,0.053,0.642,0.867
-40,0.053,0.645,0.846
-40,0.048,0.639,0.853
-40,0.055,0.642,0.860
-40,0.052,0.641,0.853
-40,0.054,0.640,0.855
-60,0.085,0.860,0.609
-60,0.085,0.860,0.630
-60,0.086,0.860,0.622
-60,0.087,0.864,0.616
-60,0.086,0.862,0.625
-60,0.088,0.861,0.614
-60,0.086,0.860,0.630
-60,0.087,0.863,0.603
-60,0.089,0.862,0.611
-60,0.081,0.860,0.622
-80,0.117,1.005,0.287
-80,0.121,1.002,0.265
-80,0.111,1.002,0.278
-80,0.117,1.001,0.290
-80,0.113,1.003,0.298
-80,0.117,0.997,0.293
-80,0.119,0.999,0.286
-80,0.117,1.004,0.302
-80,0.116,0.993,0.307
-80,0.114,0.999,0.292
