Offsets: ax: 0.025, ay: -0.029, az: -0.007

Angle (degrees), ax (m/s^2), ay (m/s^2), az (m/s^2)
0,-0.000,0.001,1.014
0,-0.001,-0.000,1.015
0,-0.001,0.001,1.015
0,0.000,0.001,1.014
0,0.001,0.000,1.014
0,0.000,-0.000,1.015
0,0.000,0.001,1.016
0,0.000,-0.000,1.014
0,0.000,-0.001,1.014
0,-0.001,0.000,1.014
20,0.338,-0.005,0.944
20,0.339,-0.008,0.946
20,0.339,-0.006,0.946
20,0.338,-0.007,0.943
20,0.339,-0.007,0.945
20,0.339,-0.006,0.948
20,0.339,-0.007,0.945
20,0.340,-0.007,0.947
20,0.339,-0.008,0.946
20,0.339,-0.007,0.949
40,0.632,-0.010,0.769
40,0.632,-0.009,0.768
40,0.632,-0.009,0.767
40,0.632,-0.010,0.768
40,0.631,-0.009,0.768
40,0.632,-0.009,0.768
40,0.633,-0.009,0.769
40,0.631,-0.009,0.765
40,0.632,-0.009,0.766
40,0.631,-0.010,0.766
60,0.847,-0.007,0.497
60,0.856,-0.008,0.500
60,0.848,-0.007,0.503
60,0.842,-0.009,0.495
60,0.846,-0.008,0.503
60,0.848,-0.008,0.502
60,0.842,-0.007,0.496
60,0.846,-0.007,0.498
60,0.848,-0.009,0.502
60,0.844,-0.007,0.497
80,0.958,0.004,0.169
80,0.957,0.003,0.167
80,0.958,0.005,0.167
80,0.958,0.004,0.167
80,0.958,0.002,0.168
80,0.959,0.003,0.169
80,0.958,0.003,0.169
80,0.959,0.004,0.168
80,0.959,0.004,0.167
80,0.958,0.004,0.169
-20,-0.345,0.005,0.959
-20,-0.344,0.004,0.959
-20,-0.344,0.004,0.960
-20,-0.344,0.004,0.960
-20,-0.343,0.003,0.959
-20,-0.345,0.005,0.961
-20,-0.345,0.005,0.960
-20,-0.344,0.004,0.960
-20,-0.344,0.004,0.962
-20,-0.345,0.004,0.960
-40,-0.650,0.016,0.777
-40,-0.648,0.015,0.789
-40,-0.645,0.016,0.801
-40,-0.648,0.014,0.788
-40,-0.647,0.014,0.791
-40,-0.649,0.016,0.782
-40,-0.647,0.015,0.797
-40,-0.647,0.016,0.797
-40,-0.647,0.014,0.793
-40,-0.647,0.015,0.790
-60,-0.874,0.022,0.530
-60,-0.873,0.021,0.531
-60,-0.872,0.022,0.536
-60,-0.872,0.020,0.535
-60,-0.873,0.021,0.530
-60,-0.874,0.021,0.530
-60,-0.873,0.020,0.531
-60,-0.871,0.020,0.537
-60,-0.873,0.021,0.530
-60,-0.872,0.020,0.530
-80,-1.000,0.026,0.205
-80,-0.999,0.026,0.207
-80,-0.999,0.025,0.208
-80,-0.999,0.024,0.207
-80,-0.999,0.024,0.206
-80,-0.999,0.025,0.207
-80,-0.999,0.025,0.208
-80,-1.000,0.025,0.206
-80,-0.999,0.025,0.207
-80,-0.999,0.024,0.206
