Testing filter: 0 without noise
Time,Roll Error,Pitch Error,Yaw Error
0.000,143.254,-37.665,142.210
0.010,142.890,-37.833,142.258
0.020,142.523,-38.003,142.308
0.030,142.156,-38.173,142.359
0.040,141.803,-38.330,142.407
0.050,141.435,-38.500,142.459
0.060,141.067,-38.670,142.512
0.070,140.699,-38.839,142.566
0.080,140.331,-39.009,142.620
0.090,139.962,-39.179,142.675
0.100,139.593,-39.349,142.731
0.110,139.223,-39.519,142.788
0.120,138.868,-39.675,142.841
0.130,138.512,-39.830,142.895
0.140,138.156,-39.986,142.949
0.150,137.800,-40.142,143.004
0.160,137.443,-40.297,143.060
0.170,137.072,-40.467,143.121
0.180,136.715,-40.622,143.178
0.190,136.344,-40.791,143.241
0.200,135.972,-40.960,143.304
0.210,135.600,-41.130,143.368
0.220,135.228,-41.299,143.433
0.230,134.856,-41.468,143.499
0.240,134.483,-41.638,143.566
0.250,134.109,-41.807,143.633
0.260,133.750,-41.961,143.696
0.270,133.391,-42.116,143.760
0.280,133.032,-42.270,143.825
0.290,132.671,-42.425,143.890
0.300,132.297,-42.594,143.961
0.310,131.937,-42.748,144.028
0.320,131.561,-42.917,144.101
0.330,131.186,-43.086,144.175
0.340,130.809,-43.255,144.250
0.350,130.433,-43.424,144.326
0.360,130.056,-43.593,144.402
0.370,129.618,-43.823,144.504
0.380,129.240,-43.992,144.583
0.390,128.862,-44.161,144.663
0.400,128.483,-44.331,144.744
0.410,128.118,-44.484,144.819
0.420,127.739,-44.654,144.902
0.430,127.358,-44.823,144.986
0.440,126.977,-44.992,145.070
0.450,126.596,-45.162,145.156
0.460,126.214,-45.331,145.243
0.470,125.832,-45.501,145.330
0.480,125.465,-45.654,145.412
0.490,125.097,-45.808,145.495
0.500,124.729,-45.961,145.578
0.510,124.345,-46.131,145.670
0.520,123.977,-46.284,145.755
0.530,123.592,-46.453,145.849
0.540,123.206,-46.623,145.943
0.550,122.820,-46.792,146.039
0.560,122.433,-46.962,146.136
0.570,122.046,-47.132,146.234
0.580,121.657,-47.301,146.333
0.590,121.269,-47.471,146.433
0.600,120.879,-47.641,146.535
0.610,120.489,-47.810,146.638
0.620,120.115,-47.963,146.733
0.630,119.741,-48.116,146.830
0.640,119.366,-48.269,146.928
0.650,118.990,-48.422,147.027
0.660,118.614,-48.576,147.127
0.670,118.220,-48.745,147.236
0.680,117.826,-48.915,147.347
0.690,117.430,-49.086,147.459
0.700,117.034,-49.256,147.573
0.710,116.654,-49.408,147.678
0.720,116.256,-49.579,147.795
0.730,115.876,-49.732,147.903
0.740,115.494,-49.884,148.012
0.750,115.112,-50.037,148.123
0.760,114.728,-50.190,148.235
0.770,114.326,-50.361,148.358
0.780,113.923,-50.531,148.482
0.790,113.538,-50.684,148.598
0.800,113.133,-50.855,148.725
0.810,112.727,-51.026,148.853
0.820,112.320,-51.196,148.984
0.830,111.931,-51.349,149.105
0.840,111.521,-51.520,149.238
0.850,111.111,-51.691,149.373
0.860,110.699,-51.862,149.510
