Angle,ax,ay,az,Sensor,Orientation
0,0.001,-0.001,1.006,LSM9DS1,Pitch
0,0.0,-0.0,1.005,LSM9DS1,Pitch
0,-0.002,0.0,1.005,LSM9DS1,Pitch
0,-0.0,-0.0,1.006,LSM9DS1,Pitch
0,-0.0,-0.0,1.006,LSM9DS1,Pitch
0,-0.0,-0.0,1.005,LSM9DS1,Pitch
0,0.001,-0.0,1.006,LSM9DS1,Pitch
0,0.0,-0.0,1.005,LSM9DS1,Pitch
0,-0.0,0.0,1.005,LSM9DS1,Pitch
0,0.0,0.0,1.005,LSM9DS1,Pitch
20,0.339,-0.004,0.938,LSM9DS1,Pitch
20,0.338,-0.002,0.935,LSM9DS1,Pitch
20,0.339,-0.003,0.941,LSM9DS1,Pitch
20,0.338,-0.004,0.936,LSM9DS1,Pitch
20,0.339,-0.001,0.939,LSM9DS1,Pitch
20,0.338,-0.002,0.94,LSM9DS1,Pitch
20,0.338,-0.001,0.938,LSM9DS1,Pitch
20,0.339,-0.003,0.937,LSM9DS1,Pitch
20,0.339,-0.002,0.939,LSM9DS1,Pitch
20,0.338,-0.0,0.937,LSM9DS1,Pitch
40,0.627,-0.002,0.758,LSM9DS1,Pitch
40,0.63,0.001,0.76,LSM9DS1,Pitch
40,0.628,0.0,0.757,LSM9DS1,Pitch
40,0.629,-0.001,0.755,LSM9DS1,Pitch
40,0.63,0.0,0.757,LSM9DS1,Pitch
40,0.629,-0.0,0.758,LSM9DS1,Pitch
40,0.629,-0.0,0.758,LSM9DS1,Pitch
40,0.629,0.0,0.759,LSM9DS1,Pitch
40,0.628,0.0,0.756,LSM9DS1,Pitch
40,0.63,0.001,0.759,LSM9DS1,Pitch
60,0.841,0.005,0.473,LSM9DS1,Pitch
60,0.843,0.012,0.476,LSM9DS1,Pitch
60,0.845,0.009,0.479,LSM9DS1,Pitch
60,0.847,0.008,0.482,LSM9DS1,Pitch
60,0.845,0.009,0.483,LSM9DS1,Pitch
60,0.847,0.009,0.484,LSM9DS1,Pitch
60,0.847,0.009,0.486,LSM9DS1,Pitch
60,0.847,0.009,0.485,LSM9DS1,Pitch
60,0.847,0.009,0.485,LSM9DS1,Pitch
60,0.847,0.009,0.486,LSM9DS1,Pitch
80,0.961,0.02,0.157,LSM9DS1,Pitch
80,0.959,0.017,0.158,LSM9DS1,Pitch
80,0.958,0.017,0.155,LSM9DS1,Pitch
80,0.958,0.016,0.155,LSM9DS1,Pitch
80,0.958,0.018,0.156,LSM9DS1,Pitch
80,0.958,0.018,0.156,LSM9DS1,Pitch
80,0.958,0.017,0.156,LSM9DS1,Pitch
80,0.958,0.017,0.155,LSM9DS1,Pitch
80,0.959,0.018,0.155,LSM9DS1,Pitch
80,0.958,0.017,0.156,LSM9DS1,Pitch
-20,-0.335,-0.001,0.955,LSM9DS1,Pitch
-20,-0.344,0.004,0.955,LSM9DS1,Pitch
-20,-0.341,0.003,0.958,LSM9DS1,Pitch
-20,-0.341,0.003,0.957,LSM9DS1,Pitch
-20,-0.341,0.004,0.955,LSM9DS1,Pitch
-20,-0.341,0.003,0.957,LSM9DS1,Pitch
-20,-0.341,0.004,0.956,LSM9DS1,Pitch
-20,-0.342,0.003,0.955,LSM9DS1,Pitch
-20,-0.34,0.003,0.957,LSM9DS1,Pitch
-20,-0.341,0.003,0.955,LSM9DS1,Pitch
-40,-0.647,0.008,0.787,LSM9DS1,Pitch
-40,-0.647,0.007,0.79,LSM9DS1,Pitch
-40,-0.647,0.005,0.787,LSM9DS1,Pitch
-40,-0.648,0.005,0.787,LSM9DS1,Pitch
-40,-0.647,0.006,0.787,LSM9DS1,Pitch
-40,-0.648,0.005,0.785,LSM9DS1,Pitch
-40,-0.649,0.007,0.787,LSM9DS1,Pitch
-40,-0.648,0.004,0.787,LSM9DS1,Pitch
-40,-0.648,0.006,0.786,LSM9DS1,Pitch
-40,-0.647,0.005,0.787,LSM9DS1,Pitch
-60,-0.877,0.008,0.525,LSM9DS1,Pitch
-60,-0.876,0.01,0.524,LSM9DS1,Pitch
-60,-0.875,0.01,0.522,LSM9DS1,Pitch
-60,-0.876,0.01,0.524,LSM9DS1,Pitch
-60,-0.875,0.01,0.522,LSM9DS1,Pitch
-60,-0.875,0.011,0.523,LSM9DS1,Pitch
-60,-0.875,0.009,0.523,LSM9DS1,Pitch
-60,-0.875,0.01,0.524,LSM9DS1,Pitch
-60,-0.876,0.01,0.522,LSM9DS1,Pitch
-60,-0.876,0.009,0.524,LSM9DS1,Pitch
-80,-1.001,0.007,0.194,LSM9DS1,Pitch
-80,-1.001,0.011,0.195,LSM9DS1,Pitch
-80,-1.001,0.011,0.199,LSM9DS1,Pitch
-80,-1.002,0.012,0.198,LSM9DS1,Pitch
-80,-1.001,0.012,0.197,LSM9DS1,Pitch
-80,-1.004,0.011,0.196,LSM9DS1,Pitch
-80,-1.003,0.011,0.196,LSM9DS1,Pitch
-80,-1.002,0.01,0.196,LSM9DS1,Pitch
-80,-1.002,0.01,0.197,LSM9DS1,Pitch
-80,-1.001,0.011,0.195,LSM9DS1,Pitch
0,-0.0,0.001,1.014,BMI270,Pitch
0,-0.001,-0.0,1.015,BMI270,Pitch
0,-0.001,0.001,1.015,BMI270,Pitch
0,0.0,0.001,1.014,BMI270,Pitch
0,0.001,0.0,1.014,BMI270,Pitch
0,0.0,-0.0,1.015,BMI270,Pitch
0,0.0,0.001,1.016,BMI270,Pitch
0,0.0,-0.0,1.014,BMI270,Pitch
0,0.0,-0.001,1.014,BMI270,Pitch
0,-0.001,0.0,1.014,BMI270,Pitch
20,0.338,-0.005,0.944,BMI270,Pitch
20,0.339,-0.008,0.946,BMI270,Pitch
20,0.339,-0.006,0.946,BMI270,Pitch
20,0.338,-0.007,0.943,BMI270,Pitch
20,0.339,-0.007,0.945,BMI270,Pitch
20,0.339,-0.006,0.948,BMI270,Pitch
20,0.339,-0.007,0.945,BMI270,Pitch
20,0.34,-0.007,0.947,BMI270,Pitch
20,0.339,-0.008,0.946,BMI270,Pitch
20,0.339,-0.007,0.949,BMI270,Pitch
40,0.632,-0.01,0.769,BMI270,Pitch
40,0.632,-0.009,0.768,BMI270,Pitch
40,0.632,-0.009,0.767,BMI270,Pitch
40,0.632,-0.01,0.768,BMI270,Pitch
40,0.631,-0.009,0.768,BMI270,Pitch
40,0.632,-0.009,0.768,BMI270,Pitch
40,0.633,-0.009,0.769,BMI270,Pitch
40,0.631,-0.009,0.765,BMI270,Pitch
40,0.632,-0.009,0.766,BMI270,Pitch
40,0.631,-0.01,0.766,BMI270,Pitch
60,0.847,-0.007,0.497,BMI270,Pitch
60,0.856,-0.008,0.5,BMI270,Pitch
60,0.848,-0.007,0.503,BMI270,Pitch
60,0.842,-0.009,0.495,BMI270,Pitch
60,0.846,-0.008,0.503,BMI270,Pitch
60,0.848,-0.008,0.502,BMI270,Pitch
60,0.842,-0.007,0.496,BMI270,Pitch
60,0.846,-0.007,0.498,BMI270,Pitch
60,0.848,-0.009,0.502,BMI270,Pitch
60,0.844,-0.007,0.497,BMI270,Pitch
80,0.958,0.004,0.169,BMI270,Pitch
80,0.957,0.003,0.167,BMI270,Pitch
