,BMI270,,,LSM9DS1,,,MPU6050,,
Angle,ax,ay,az,ax,ay,az,ax,ay,az
-80,-1.00,0.02,0.21,-1.00,0.01,0.20,0.12,1.00,0.29
-60,-0.87,0.02,0.53,-0.88,0.01,0.52,0.09,0.86,0.62
-40,-0.65,0.02,0.79,-0.65,0.01,0.79,0.05,0.64,0.86
-20,-0.34,0.00,0.96,-0.34,0.00,0.96,0.03,0.33,1.02
0,0.00,0.00,1.01,0.00,0.00,1.01,0.00,0.00,1.07
20,0.34,-0.01,0.95,0.34,0.00,0.94,0.00,-0.33,1.00
40,0.63,-0.01,0.77,0.63,0.00,0.76,-0.02,-0.63,0.82
60,0.85,-0.01,0.50,0.85,0.01,0.48,0.00,-0.85,0.55
80,0.96,0.00,0.17,0.96,0.02,0.16,0.04,-0.97,0.22
