Angle,ax,ay,az,Sensor,Orientation
0,-0.002,-0.001,0.958,LSM9DS1,Roll
0,0.0,0.001,0.958,LSM9DS1,Roll
0,-0.001,0.0,0.961,LSM9DS1,Roll
0,0.001,0.0,0.96,LSM9DS1,Roll
0,0.0,-0.0,0.96,LSM9DS1,Roll
0,-0.0,0.001,0.959,LSM9DS1,Roll
0,0.0,0.0,0.959,LSM9DS1,Roll
0,-0.001,0.0,0.96,LSM9DS1,Roll
0,-0.0,-0.0,0.959,LSM9DS1,Roll
0,-0.001,0.001,0.96,LSM9DS1,Roll
20,0.004,-0.344,0.887,LSM9DS1,Roll
20,0.004,-0.341,0.886,LSM9DS1,Roll
20,0.005,-0.342,0.887,LSM9DS1,Roll
20,0.005,-0.341,0.887,LSM9DS1,Roll
20,0.005,-0.341,0.887,LSM9DS1,Roll
20,0.005,-0.342,0.886,LSM9DS1,Roll
20,0.006,-0.341,0.887,LSM9DS1,Roll
20,0.005,-0.342,0.887,LSM9DS1,Roll
20,0.005,-0.341,0.887,LSM9DS1,Roll
20,0.006,-0.342,0.888,LSM9DS1,Roll
40,0.012,-0.641,0.705,LSM9DS1,Roll
40,0.013,-0.639,0.702,LSM9DS1,Roll
40,0.011,-0.639,0.705,LSM9DS1,Roll
40,0.011,-0.64,0.704,LSM9DS1,Roll
40,0.012,-0.64,0.703,LSM9DS1,Roll
40,0.012,-0.64,0.704,LSM9DS1,Roll
40,0.011,-0.638,0.703,LSM9DS1,Roll
40,0.011,-0.64,0.704,LSM9DS1,Roll
40,0.012,-0.639,0.704,LSM9DS1,Roll
40,0.011,-0.64,0.704,LSM9DS1,Roll
60,0.02,-0.854,0.439,LSM9DS1,Roll
60,0.022,-0.855,0.438,LSM9DS1,Roll
60,0.022,-0.854,0.438,LSM9DS1,Roll
60,0.021,-0.853,0.438,LSM9DS1,Roll
60,0.021,-0.854,0.438,LSM9DS1,Roll
60,0.021,-0.855,0.44,LSM9DS1,Roll
60,0.021,-0.853,0.439,LSM9DS1,Roll
60,0.022,-0.853,0.439,LSM9DS1,Roll
60,0.021,-0.855,0.439,LSM9DS1,Roll
60,0.021,-0.853,0.438,LSM9DS1,Roll
80,0.034,-0.97,0.1,LSM9DS1,Roll
80,0.032,-0.969,0.099,LSM9DS1,Roll
80,0.032,-0.97,0.101,LSM9DS1,Roll
80,0.032,-0.969,0.099,LSM9DS1,Roll
80,0.031,-0.969,0.099,LSM9DS1,Roll
80,0.033,-0.97,0.101,LSM9DS1,Roll
80,0.034,-0.969,0.1,LSM9DS1,Roll
80,0.033,-0.969,0.1,LSM9DS1,Roll
80,0.032,-0.969,0.099,LSM9DS1,Roll
80,0.032,-0.969,0.099,LSM9DS1,Roll
-20,0.004,0.345,0.906,LSM9DS1,Roll
-20,0.004,0.346,0.911,LSM9DS1,Roll
-20,0.004,0.346,0.909,LSM9DS1,Roll
-20,0.004,0.347,0.907,LSM9DS1,Roll
-20,0.004,0.347,0.91,LSM9DS1,Roll
-20,0.005,0.346,0.909,LSM9DS1,Roll
-20,0.004,0.345,0.91,LSM9DS1,Roll
-20,0.005,0.346,0.909,LSM9DS1,Roll
-20,0.004,0.347,0.909,LSM9DS1,Roll
-20,0.005,0.346,0.908,LSM9DS1,Roll
-40,0.004,0.649,0.746,LSM9DS1,Roll
-40,0.002,0.648,0.747,LSM9DS1,Roll
-40,0.004,0.65,0.744,LSM9DS1,Roll
-40,0.004,0.649,0.745,LSM9DS1,Roll
-40,0.004,0.649,0.745,LSM9DS1,Roll
-40,0.005,0.649,0.744,LSM9DS1,Roll
-40,0.003,0.648,0.746,LSM9DS1,Roll
-40,0.004,0.649,0.744,LSM9DS1,Roll
-40,0.004,0.65,0.743,LSM9DS1,Roll
-40,0.005,0.649,0.742,LSM9DS1,Roll
-60,0.006,0.881,0.48,LSM9DS1,Roll
-60,0.007,0.882,0.483,LSM9DS1,Roll
-60,0.007,0.88,0.487,LSM9DS1,Roll
-60,0.006,0.88,0.487,LSM9DS1,Roll
-60,0.006,0.88,0.484,LSM9DS1,Roll
-60,0.008,0.881,0.481,LSM9DS1,Roll
-60,0.007,0.882,0.477,LSM9DS1,Roll
-60,0.008,0.881,0.478,LSM9DS1,Roll
-60,0.007,0.882,0.478,LSM9DS1,Roll
-60,0.008,0.883,0.475,LSM9DS1,Roll
-80,0.004,1.008,0.158,LSM9DS1,Roll
-80,0.002,1.01,0.151,LSM9DS1,Roll
-80,0.003,1.009,0.149,LSM9DS1,Roll
-80,0.002,1.009,0.156,LSM9DS1,Roll
-80,0.001,1.007,0.16,LSM9DS1,Roll
-80,0.003,1.008,0.158,LSM9DS1,Roll
-80,0.002,1.008,0.153,LSM9DS1,Roll
-80,0.003,1.008,0.151,LSM9DS1,Roll
-80,0.003,1.009,0.155,LSM9DS1,Roll
-80,0.001,1.007,0.161,LSM9DS1,Roll
0,0.001,-0.0,0.987,BMI270,Roll
0,0.001,0.001,0.987,BMI270,Roll
0,-0.0,0.001,0.988,BMI270,Roll
0,0.0,-0.0,0.988,BMI270,Roll
0,0.001,0.0,0.988,BMI270,Roll
0,-0.001,-0.001,0.989,BMI270,Roll
0,0.001,-0.0,0.988,BMI270,Roll
0,-0.0,-0.001,0.989,BMI270,Roll
0,0.001,-0.001,0.987,BMI270,Roll
0,-0.0,0.001,0.987,BMI270,Roll
20,-0.004,-0.337,0.904,BMI270,Roll
20,-0.003,-0.335,0.904,BMI270,Roll
20,-0.004,-0.337,0.904,BMI270,Roll
20,-0.003,-0.337,0.905,BMI270,Roll
20,-0.002,-0.336,0.903,BMI270,Roll
20,-0.003,-0.337,0.903,BMI270,Roll
20,-0.003,-0.336,0.904,BMI270,Roll
20,-0.003,-0.337,0.905,BMI270,Roll
20,-0.003,-0.336,0.904,BMI270,Roll
20,-0.002,-0.336,0.904,BMI270,Roll
40,-0.005,-0.615,0.72,BMI270,Roll
40,-0.004,-0.615,0.72,BMI270,Roll
40,-0.004,-0.614,0.717,BMI270,Roll
40,-0.004,-0.614,0.716,BMI270,Roll
40,-0.005,-0.614,0.715,BMI270,Roll
40,-0.004,-0.615,0.715,BMI270,Roll
40,-0.004,-0.612,0.715,BMI270,Roll
40,-0.004,-0.613,0.717,BMI270,Roll
40,-0.005,-0.614,0.717,BMI270,Roll
40,-0.005,-0.615,0.718,BMI270,Roll
60,-0.005,-0.822,0.435,BMI270,Roll
60,-0.003,-0.821,0.435,BMI270,Roll
60,-0.005,-0.821,0.433,BMI270,Roll
60,-0.004,-0.822,0.435,BMI270,Roll
60,-0.003,-0.82,0.434,BMI270,Roll
60,-0.003,-0.821,0.435,BMI270,Roll
60,-0.004,-0.82,0.434,BMI270,Roll
60,-0.003,-0.821,0.435,BMI270,Roll
60,-0.004,-0.82,0.435,BMI270,Roll
60,-0.004,-0.822,0.435,BMI270,Roll
80,0.008,-0.918,0.101,BMI270,Roll
80,0.007,-0.917,0.103,BMI270,Roll
80,0.007,-0.917,0.103,BMI270,Roll
80,0.009,-0.918,0.104,BMI270,Roll
80,0.008,-0.918,0.102,BMI270,Roll
80,0.007,-0.919,0.103,BMI270,Roll
80,0.009,-0.916,0.102,BMI270,Roll
80,0.008,-0.917,0.103,BMI270,Roll
80,0.007,-0.919,0.102,BMI270,Roll
80,0.008,-0.917,0.102,BMI270,Roll
-20,0.002,0.339,0.952,BMI270,Roll
-20,0.002,0.338,0.952,BMI270,Roll
-20,0.001,0.34,0.952,BMI270,Roll
-20,0.002,0.338,0.952,BMI270,Roll
-20,0.001,0.34,0.952,BMI270,Roll
-20,0.002,0.34,0.953,BMI270,Roll
-20,0.0,0.34,0.953,BMI270,Roll
-20,0.002,0.339,0.952,BMI270,Roll
-20,0.0,0.339,0.951,BMI270,Roll
-20,0.001,0.338,0.952,BMI270,Roll
-40,0.009,0.648,0.805,BMI270,Roll
-40,0.008,0.65,0.801,BMI270,Roll
-40,0.008,0.651,0.796,BMI270,Roll
-40,0.008,0.649,0.802,BMI270,Roll
-40,0.008,0.652,0.792,BMI270,Roll
-40,0.008,0.648,0.803,BMI270,Roll
-40,0.007,0.649,0.801,BMI270,Roll
-40,0.007,0.651,0.79,BMI270,Roll
-40,0.008,0.647,0.806,BMI270,Roll
-40,0.008,0.646,0.81,BMI270,Roll
-60,0.004,0.889,0.55,BMI270,Roll
-60,0.005,0.893,0.544,BMI270,Roll
-60,0.005,0.893,0.538,BMI270,Roll
-60,0.005,0.891,0.551,BMI270,Roll
-60,0.005,0.89,0.551,BMI270,Roll
-60,0.005,0.893,0.542,BMI270,Roll
-60,0.005,0.893,0.541,BMI270,Roll
-60,0.005,0.892,0.545,BMI270,Roll
-60,0.005,0.892,0.546,BMI270,Roll
-60,0.005,0.891,0.544,BMI270,Roll
-80,0.004,1.032,0.225,BMI270,Roll
-80,0.004,1.034,0.216,BMI270,Roll
-80,0.003,1.033,0.219,BMI270,Roll
-80,0.003,1.031,0.225,BMI270,Roll
-80,0.003,1.031,0.23,BMI270,Roll
-80,0.004,1.03,0.233,BMI270,Roll
-80,0.002,1.03,0.226,BMI270,Roll
-80,0.003,1.032,0.225,BMI270,Roll
-80,0.004,1.032,0.22,BMI270,Roll
-80,0.002,1.033,0.221,BMI270,Roll
0,0.052,-0.026,1.061,MPU6050,Roll
0,0.054,-0.024,1.044,MPU6050,Roll
0,0.053,-0.028,1.057,MPU6050,Roll
