,BMI270,,,LSM9DS1,,,MPU6050,,
Angle,ax,ay,az,ax,ay,az,ax,ay,az
-80,0.00,1.03,0.22,0.00,1.01,0.16,0.93,0.07,0.26
-60,0.00,0.89,0.55,0.01,0.88,0.48,0.60,0.04,0.83
-40,0.01,0.65,0.80,0.00,0.65,0.74,0.50,-0.02,0.91
-20,0.00,0.34,0.95,0.00,0.35,0.91,0.27,-0.05,1.01
0,0.00,0.00,0.99,0.00,0.00,0.96,0.05,-0.03,1.06
20,0.00,-0.34,0.90,0.01,-0.34,0.89,-0.27,-0.01,1.04
40,0.00,-0.61,0.72,0.01,-0.64,0.70,-0.58,0.01,0.90
60,0.00,-0.82,0.43,0.02,-0.85,0.44,-0.82,0.04,0.68
80,0.01,-0.92,0.10,0.03,-0.97,0.10,-0.98,0.07,0.39
