Offsets: ax: -0.044, ay: -0.025, az: 0.020

Angle (degrees), ax (m/s^2), ay (m/s^2), az (m/s^2)
0,-0.002,-0.001,0.958
0,0.000,0.001,0.958
0,-0.001,0.000,0.961
0,0.001,0.000,0.960
0,0.000,-0.000,0.960
0,-0.000,0.001,0.959
0,0.000,0.000,0.959
0,-0.001,0.000,0.960
0,-0.000,-0.000,0.959
0,-0.001,0.001,0.960
20,0.004,-0.344,0.887
20,0.004,-0.341,0.886
20,0.005,-0.342,0.887
20,0.005,-0.341,0.887
20,0.005,-0.341,0.887
20,0.005,-0.342,0.886
20,0.006,-0.341,0.887
20,0.005,-0.342,0.887
20,0.005,-0.341,0.887
20,0.006,-0.342,0.888
40,0.012,-0.641,0.705
40,0.013,-0.639,0.702
40,0.011,-0.639,0.705
40,0.011,-0.640,0.704
40,0.012,-0.640,0.703
40,0.012,-0.640,0.704
40,0.011,-0.638,0.703
40,0.011,-0.640,0.704
40,0.012,-0.639,0.704
40,0.011,-0.640,0.704
60,0.020,-0.854,0.439
60,0.022,-0.855,0.438
60,0.022,-0.854,0.438
60,0.021,-0.853,0.438
60,0.021,-0.854,0.438
60,0.021,-0.855,0.440
60,0.021,-0.853,0.439
60,0.022,-0.853,0.439
60,0.021,-0.855,0.439
60,0.021,-0.853,0.438
80,0.034,-0.970,0.100
80,0.032,-0.969,0.099
80,0.032,-0.970,0.101
80,0.032,-0.969,0.099
80,0.031,-0.969,0.099
80,0.033,-0.970,0.101
80,0.034,-0.969,0.100
80,0.033,-0.969,0.100
80,0.032,-0.969,0.099
80,0.032,-0.969,0.099
-20,0.004,0.345,0.906
-20,0.004,0.346,0.911
-20,0.004,0.346,0.909
-20,0.004,0.347,0.907
-20,0.004,0.347,0.910
-20,0.005,0.346,0.909
-20,0.004,0.345,0.910
-20,0.005,0.346,0.909
-20,0.004,0.347,0.909
-20,0.005,0.346,0.908
-40,0.004,0.649,0.746
-40,0.002,0.648,0.747
-40,0.004,0.650,0.744
-40,0.004,0.649,0.745
-40,0.004,0.649,0.745
-40,0.005,0.649,0.744
-40,0.003,0.648,0.746
-40,0.004,0.649,0.744
-40,0.004,0.650,0.743
-40,0.005,0.649,0.742
-60,0.006,0.881,0.480
-60,0.007,0.882,0.483
-60,0.007,0.880,0.487
-60,0.006,0.880,0.487
-60,0.006,0.880,0.484
-60,0.008,0.881,0.481
-60,0.007,0.882,0.477
-60,0.008,0.881,0.478
-60,0.007,0.882,0.478
-60,0.008,0.883,0.475
-80,0.004,1.008,0.158
-80,0.002,1.010,0.151
-80,0.003,1.009,0.149
-80,0.002,1.009,0.156
-80,0.001,1.007,0.160
-80,0.003,1.008,0.158
-80,0.002,1.008,0.153
-80,0.003,1.008,0.151
-80,0.003,1.009,0.155
-80,0.001,1.007,0.161
