Offsets: ax: 0.094, ay: -0.111, az: -0.032

Angle (degrees), ax (m/s^2), ay (m/s^2), az (m/s^2)
0,0.052,-0.026,1.061
0,0.054,-0.024,1.044
0,0.053,-0.028,1.057
0,0.048,-0.028,1.044
0,0.045,-0.024,1.060
0,0.051,-0.026,1.061
0,0.050,-0.029,1.063
0,0.047,-0.027,1.058
0,0.050,-0.027,1.054
0,0.050,-0.023,1.070
20,-0.271,-0.012,1.026
20,-0.266,-0.012,1.037
20,-0.268,-0.011,1.044
20,-0.271,-0.015,1.027
20,-0.275,-0.013,1.048
20,-0.274,-0.012,1.040
20,-0.270,-0.012,1.046
20,-0.271,-0.014,1.048
20,-0.267,-0.018,1.035
20,-0.271,-0.015,1.030
40,-0.572,0.012,0.911
40,-0.580,0.009,0.904
40,-0.571,0.006,0.927
40,-0.570,0.011,0.908
40,-0.578,0.008,0.892
40,-0.578,0.011,0.887
40,-0.576,0.008,0.898
40,-0.580,0.007,0.910
40,-0.582,0.006,0.901
40,-0.578,0.006,0.907
60,-0.823,0.037,0.684
60,-0.825,0.035,0.684
60,-0.833,0.039,0.667
60,-0.818,0.033,0.687
60,-0.826,0.026,0.677
60,-0.821,0.038,0.684
60,-0.819,0.036,0.687
60,-0.826,0.036,0.687
60,-0.821,0.036,0.686
60,-0.825,0.044,0.686
80,-0.979,0.065,0.380
80,-0.983,0.069,0.395
80,-0.983,0.069,0.403
80,-0.976,0.052,0.403
80,-0.987,0.072,0.373
80,-0.983,0.069,0.392
80,-0.981,0.065,0.372
80,-0.981,0.076,0.387
80,-0.976,0.062,0.402
80,-0.984,0.066,0.371
-20,0.284,-0.038,1.005
-20,0.275,-0.045,1.001
-20,0.273,-0.050,1.014
-20,0.277,-0.047,1.012
-20,0.274,-0.053,1.012
-20,0.274,-0.051,1.009
-20,0.274,-0.047,1.016
-20,0.266,-0.051,1.005
-20,0.279,-0.045,1.011
-20,0.271,-0.049,1.016
-40,0.500,-0.024,0.900
-40,0.501,-0.017,0.905
-40,0.496,-0.023,0.906
-40,0.501,-0.016,0.913
-40,0.497,-0.019,0.907
-40,0.498,-0.018,0.904
-40,0.498,-0.019,0.906
-40,0.495,-0.019,0.906
-40,0.504,-0.021,0.908
-40,0.502,-0.017,0.896
-60,0.597,0.042,0.833
-60,0.602,0.043,0.838
-60,0.592,0.047,0.835
-60,0.597,0.040,0.833
-60,0.593,0.046,0.842
-60,0.596,0.045,0.831
-60,0.601,0.043,0.834
-60,0.599,0.047,0.835
-60,0.592,0.043,0.838
-60,0.598,0.037,0.827
-80,0.929,0.070,0.270
-80,0.925,0.073,0.257
-80,0.927,0.071,0.269
-80,0.936,0.072,0.257
-80,0.931,0.075,0.260
-80,0.925,0.071,0.265
-80,0.928,0.079,0.259
-80,0.933,0.077,0.260
-80,0.931,0.077,0.259
-80,0.931,0.072,0.257
